contract_id,summary,termination_clause,confidentiality_clause,liability_clause
"MetLife, Inc. - Remarketing Agreement","The Remarketing Agreement between MetLife, Inc. and Deutsche Bank Securities Inc. outlines the process for remarketing Series E Senior Component Debentures. MetLife appoints Deutsche Bank as the Remarketing Agent, responsible for remarketing the securities and establishing reset rates. The agreement stipulates that a Successful Remarketing requires the sale of all tendered securities by a specified deadline, generating proceeds that meet or exceed the Remarketing Price.

Key obligations include MetLife's duty to provide necessary documentation and comply with regulatory requirements, while Deutsche Bank must use commercially reasonable efforts to remarket the securities. Notable risks include the potential failure of the remarketing, which would terminate the agreement, and liability exposure for MetLife, which must indemnify Deutsche Bank against claims arising from misleading statements in related documents.","This Remarketing Agreement shall terminate (i) in the event of a Remarketing that is not a Successful Remarketing or (ii) as to any Remarketing Agent who resigns or is removed, on the effective date of the resignation or removal of such Remarketing Agent pursuant to Section 7.",,"The Company will indemnify and hold harmless each Remarketing Agent, its partners, directors and officers and each person, if any, who controls such Remarketing Agent within the meaning of either Section 15 of the Act or Section 20 of the Exchange Act, against any losses, claims, damages or liabilities, joint or several, to which such Remarketing Agent may become subject, under the Act or otherwise, insofar as such losses, claims, damages or liabilities (or actions in respect thereof) arise out of or are based upon an untrue statement or alleged untrue statement of a material fact contained in (i) the Registration Statement or any amendment or supplement (when considered together with the document to which such supplement relates) thereto, or arise out of or are based upon the omission or alleged omission to state therein a material fact required to be stated therein or necessary to make the statements therein not misleading or (ii) any Preliminary Prospectus, Pricing Prospectus, any Issuer Free Writing Prospectus or the Final Prospectus or any amendment or supplement (when considered together with the document to which such supplement relates) thereto, or any ""issuer information"" filed or required to be filed pursuant to Rule 433(d) under the Act, or arise out of or are based upon the omission or alleged omission to state therein a material fact required to be stated therein or necessary to make the statements therein, in light of the circumstances under which they were made, not misleading, and will reimburse each Remarketing Agent for any legal or other expenses reasonably incurred by such Remarketing Agent in connection with investigating or defending any such action or claim as such expenses are incurred; provided, however, that the Company shall not be liable in any such case to the extent that any such loss, claim, damage or liability (or action in respect thereof) arises out of or is based upon an untrue statement or alleged untrue statement or omission or alleged omission made in any Preliminary Prospectus, any Issuer Free Writing Prospectus, Pricing Prospectus, the Registration Statement or the Final Prospectus, or any such amendment or supplement(s) in reliance upon and in conformity with written information furnished to the Company by any Remarketing Agent expressly for use therein."
MSCIINC_02_28_2008-EX-10.10-,"The Intellectual Property Agreement between Morgan Stanley & Co. Incorporated (MS) and MSCI Inc. establishes a framework for the licensing of intellectual property. MS grants MSCI a non-exclusive, perpetual, irrevocable, royalty-free license to use and modify MS Licensed Materials, while MSCI grants a similar license for MSCI Licensed Materials to MS. Neither party is obligated to provide support or maintenance for the licensed materials, which are provided ""as-is"" without warranties. Notably, both parties disclaim liability for indirect, incidental, or consequential damages arising from the agreement, and each party must mitigate damages resulting from non-compliance by the other. The agreement is governed by New York law, and any disputes must be resolved in New York courts.",,,"(a) MSCI agrees that neither MS nor its affiliates or subsidiaries (other than MSCI) (collectively, the ""MS Provider Group"") and the respective directors, officers, agents, and employees of the MS Provider Group shall have any liability, whether direct or indirect, in contract or tort or otherwise, to MSCI for or in connection with this Agreement or the transactions contemplated hereby or any actions or inactions by or on behalf of the MS Provider Group in connection with this Agreement and such transactions."
NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT,"The Joint Filing Agreement establishes a collaborative framework for the undersigned parties to jointly prepare and file Schedule 13G or Schedule 13D with regulatory authorities, reporting their ownership of securities. Each party is obligated to ensure timely filing of amendments and to provide accurate information regarding their own ownership, but they are not liable for inaccuracies in the information provided by others unless they are aware of such inaccuracies. Notable risks include potential penalties for late filings or inaccuracies, which could expose parties to regulatory scrutiny or liability. Each party must remain vigilant about their own disclosures to mitigate these risks.",,,
NICELTD_06_26_2003-EX-4.5-OUTSOURCING AGREEMENT,"The Manufacturing Outsourcing Agreement establishes a partnership between Nice Systems Ltd. (NICE) and Flextronics Israel Ltd. (Contractor) for the production, testing, and delivery of NICE's digital recording products. Contractor is obligated to provide manufacturing services, including purchasing components, assembly, and quality control, while NICE will supply necessary inventory and oversee operations. Notable risks include potential delays in delivery, which may incur liquidated damages of up to 5% of the product price. NICE can cancel purchase orders (POs) with prior notice, limiting its liability to fixed cancellation charges during production. Confidentiality is emphasized, prohibiting the disclosure of NICE's proprietary information without consent. The agreement also outlines responsibilities for managing inventory and engineering changes, ensuring both parties maintain operational efficiency and compliance with quality standards.","NICE may at its discretion, at any time, cancel, in whole or in part, PO's of Products issued pursuant to this Agreement subject to the delivery of prior written notice, before the respective Due Date.","Contractor will provide the Manufacturing Outsourcing Services in a manner that complies with the Confidentiality requirements of APPENDIX E. Contractor shall not: transfer to others, copy or duplicate, sub-license, sell, publish, display or otherwise make available in any form or disclose, the NICE Proprietary Information and/or the NICE Software and/or the NICE Intellectual Property, to any third party, except to suppliers/manufacturers of components and/or sub assemblies that require specifications for their supply, in which case they shall be required by Contractor to execute a Confidentiality Agreement in the form of APPENDIX E VIS-A-VIS NICE.","NICE shall have no liability for cancellation of a PO prior to the Production Lead Time of the Product. For cancellation of a PO during the Production Lead Time and until the Due Date, NICE' liability for cancellation shall be limited to the following: Payment of a fixed cancellation charge for all cancelled units of Products as specified in APPENDIX C."
"ON2TECHNOLOGIES,INC_11_17_2006-EX-10.3-SUPPORT AND MAINTENANCE AGREEMENT","The Support and Maintenance Agreement between On2 Technologies, Inc. and Wildform, Inc. outlines the provision of transition services and software deliverables following an asset purchase. Wildform is obligated to deliver specific software products and provide technical support, while On2 must pay a total of $160,000 and issue shares as compensation. Each party must maintain confidentiality regarding sensitive information. Notable risks include potential termination for material breaches, which could lead to loss of services or assets. Liability exposure is addressed through mutual indemnification clauses, where each party agrees to defend and hold the other harmless for breaches of confidentiality, warranties, or intellectual property rights. Failure to meet obligations may result in penalties, including the need to return or destroy confidential materials upon termination.","Either of Wildform or On2 may terminate this Agreement if the other Party is in material breach of this Agreement and fails to cure such breach within thirty (30) days after written notice. Either of On2 or Wildform may terminate this Agreement if the other Party becomes bankrupt or a receiver is appointed for a substantial part of its assets or business, or any order is made approving a petition or answer seeking reorganization under any applicable bankruptcy law.","The Receiving Party represents and warrants to the Disclosing Party that: it will keep and maintain all Confidential Information of the Disclosing Party in strict confidence, using such degree of care as is appropriate to avoid unauthorized use or disclosure; it will not, directly or indirectly, disclose any Confidential Information to any third party, except as contemplated by this Agreement or with the Disclosing Party's prior written consent; it will not make use of any Confidential Information for its own purposes, such as creation of a competitive product; or for the benefit of anyone or any entity other than as contemplated by this Agreement;","On2 agrees to defend, indemnify and hold harmless Wildform, its officers, directors, employees, agents and customers from and against any claim, action, damage or costs (including reasonable attorneys fees) based on any breach by On2 of Sections 5, 6 or 7 of this Agreement provided that: (i) On2 is promptly notified in writing of such claim or action, (ii) Wildform grants On2 sole control of the defense and any related settlement negotiations, and (iii) Wildform reasonably cooperates with On2 in defense of such claim."
OPERALTD_04_30_2020-EX-4.14-SERVICE AGREEMENT,"The Service Agreement between PC Financial Services Private Limited and Mobimagic Co., Ltd. outlines the provision of system maintenance and data processing services by Mobimagic to PC Financial for small, unsecured loans in India from April 1, 2019, to March 30, 2020. PC Financial is obligated to pay Mobimagic a monthly fee of $970,000 and ensure compliance with data protection laws. Mobimagic must deliver services competently and without infringing on third-party rights. Notable risks include potential liability for breaches of confidentiality and data protection laws, with indemnification clauses requiring each party to defend the other against third-party claims related to their respective breaches. The agreement limits liability to the total fees paid, excluding consequential damages. Termination can occur for material breaches not remedied within 30 days.","9.2 This Agreement may be terminated by either Party prior to the end of the Service Period if the other Party is in material breach of any term, or condition of this Agreement and such breach is not remedied for a period of thirty (30) days after the Party in breach has been notified in writing of such breach by the other Party.","7. CONFIDENTIALITY & PUBLICITY Neither Party shall disclose the other Party's Confidential Information to any third party or use Confidential Information for any purpose other than for the proper fulfillment of this Agreement. Each Party undertakes to safeguard the Confidential Information of the other Party with the same degree of care as it would apply to Its own Confidential Information and, in any case, with no less than reasonable care. Such obligations will survive the expiration of this Agreement for a period of five (5) years.","10.2 IN NO EVENT WILL EITHER PARTY BE LIABLE FOR ANY CONSEQUENTIAL, INDIRECT, EXEMPLARY, SPECIAL, OR INCIDENTAL DAMAGES ARISING FROM OR RELATING TO THIS AGREEMENT. NEITHER PARTY'S TOTAL CUMULATIVE LIABILITY IN CONNECTION WITH THIS AGREEMENT, WHETHER IN AGREEMENT OR TORT OR OTHERWISE, WILL NOT EXCEED THE AGGREGATE AMOUNT OF FEES AND EXPENSES OWED BY PC FINANCIAL TO MOBIMAGIC FOR SERVICES PERFORMED UNDER THIS AGREEMENT."
"PACIRA PHARMACEUTICALS, INC. - A_R STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT ","The Amended and Restated Strategic Licensing, Distribution, and Marketing Agreement between Pacira Pharmaceuticals, Inc. (PPI) and EKR Therapeutics, Inc. outlines the exclusive rights granted to EKR to market and distribute PPI's pharmaceutical products in specified territories. PPI is responsible for manufacturing the products and transferring necessary marketing authorizations and equipment to EKR. EKR must maintain marketing authorizations, conduct promotional activities, and manage sales within the territory.

Notable risks include potential liability exposure for both parties, with PPI's liability limited to a specified amount, excluding cases of negligence leading to personal injury. EKR faces penalties if it fails to launch products within specified timelines or engages in competing product activities. Confidentiality obligations protect sensitive information shared between the parties, with exceptions for public domain information.","At any time between the Agreement Date and July 1, 2015, EKR shall have the right, exercisable upon sixty (60) days prior written notice to PPI, to terminate the Lease Term and sell the Transferred Equipment back to PPI, subject to payment by PPI to EKR within five (5) days of such notice of $[**] in cash, which if exercised shall result in (i) an offset against the unpaid balance of principal and interest under the Promissory Note pursuant to Section 3.20(f) below; and (ii) the termination of the Step-in Right described in Section 17.5.","""Confidential Information"" Means all confidential information, data and materials in whatever form disclosed by or on behalf of one Party or its Affiliates to the other Party or its Affiliates including, without limitation, the terms of this Agreement, data, formulae, unpublished patent disclosures, processes, protocols, marketing studies, sales information, specifications and know-how, (and, in the case of EKR's Confidential Information, EKR's marketing plans and EKR's sales forecasts), but excluding information which either Party can establish by written documentation: (i) at the time of disclosure, is in the public domain or is public knowledge; (ii) after disclosure, becomes part of the public domain by publication, except by breach of any obligation of confidentiality by a Party hereto or an Affiliate of such Party; (iii) was already in its possession at the time of its receipt and was not acquired directly or indirectly from the other Party or its Affiliates; or (iv) received from Third Parties who were lawfully entitled to disclose such information;","Any and all liability of PPI to EKR howsoever arising in respect of this Agreement, the Transition Services and Inventory Agreement or the Supply Agreement and their performance, in contract tort or otherwise, shall be limited (except for death or personal injury caused by the negligence of PPI or its employees while acting in the course of their employment) to [**] US Dollars ($[**]); provided however that such limitation shall not apply to the extent that EKR or any EKR Indemnified Party is required to pay in excess of such amount to a third party in respect of a final judgment or order obtained by the third party or as a result of PPI's breach of Section 7.2.12 of the Supply Agreement."
PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement1,"The Franchise Agreement between Pizza Fusion Holdings, Inc. and the Franchisee grants the Franchisee the right to operate a Pizza Fusion restaurant at a specified location, adhering to the franchisor's standards and procedures. The Franchisee must pay an initial fee of $30,000, ongoing royalties of 6% of gross revenues, and contribute to marketing funds. Key obligations include site selection approval, compliance with operational standards, and completion of mandatory training. Notable risks include potential termination if the Franchisee fails to secure site approval within 90 days or does not comply with operational requirements. The Franchisee is liable for all payments, which are unconditional and cannot be withheld for any claims. Additionally, the Franchisee must maintain confidentiality regarding customer information, which remains the property of the franchisor.","If we do not approve in writing the proposed site, you must, within 30 days after our disapproval of the proposed site, submit a new proposed site within the Delivery/Catering and Advertising Area for our review and approval. (b) By no later than 90 days after the Agreement Date, you must have obtained our written approval of a site. If you have not done so, we may elect to terminate this Agreement, and we will not refund to you the Initial Franchise Fee or any other money paid to us.","You must create and maintain, in such manner as we may from time to time require, a current customer list (the ""Customer List"") containing as to each of your customers, such customer's name, e-mail address, location address, telephone number and zip code (9 digits). You must provide a copy of such list to us on a quarterly basis (or at such other intervals as we may prescribe). The Customer List is, and remains, our exclusive property, you hereby assign to us all rights you now have or hereafter may acquire in the Customer List. After the expiration or termination of this Agreement, you may not retain, use or disclose the Customer List, or any of the information contained therein, without our written authorization.","You agree that your obligations to pay us (as well as our affiliates) under this Agreement or any other agreement in connection to the Franchised Business are absolute and unconditional, and not subject to abatement or setoff for past or future claims that you may assert."
PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement3,"The agreement establishes confidentiality and non-competition obligations between the Franchisee and its personnel (the Member) to protect the Franchisor's proprietary information and business interests. The Member must not disclose or use any confidential information obtained during their relationship with the Franchisee, both during and after the term of the Franchise Agreement. Additionally, the Member agrees not to engage in any competitive business activities within a three-mile radius of the Franchisee's location for two years following the termination of their employment or the Franchise Agreement. Notable risks include potential legal action for breach of contract, which could result in the Member being liable for court costs and attorney fees incurred by the Franchisor. The agreement also allows for injunctive relief to prevent violations, emphasizing the importance of compliance.",(b) expiration or termination of the Franchise Agreement (regardless of the cause for termination);,"Member shall not, during the term of the Franchise Agreement or thereafter, communicate, divulge or use, for any purpose other than the operation of the Franchised Business, any confidential information, knowledge, trade secrets or know-how which may be communicated to Member or which Member may learn by virtue of Member's relationship with Franchisee.","Member acknowledges that any failure to comply with the requirements of this Agreement will cause Franchisor irreparable injury, and Member agrees to pay all court costs and reasonable attorney's fees incurred by Franchisor in obtaining specific performance of, or an injunction against violation of, the requirements of this Agreement."
PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT,"The Intellectual Property Agreement establishes a collaboration among Marv Enterprises, Premier Biomedical, and Technology Health for developing and commercializing treatments for COVID-19. Marv grants Premier an exclusive license to its patents and related applications, which Premier can assign to THI. THI is obligated to pay a $20,000 upfront fee and approximately $80,000 in outstanding invoices, along with ongoing royalties of 5% on sales of licensed products. Notably, if THI fails to meet payment obligations, the license may revert to Premier, and THI's rights to the patents in that country will terminate. Additionally, THI must reimburse Marv for intellectual property costs, and failure to do so will also result in reversion of rights. Confidentiality is mandated, and any breach could expose parties to liability. The agreement is governed by Pennsylvania law.","If THI does not make the obligatory payments as stated in 2(b) by the dates stated, the Exclusive License will revert back to Premier.","Each Party agrees to hold in confidence confidential information acquired in the course of this relationship with the other Parties and their associates. Each Party agrees to refrain from, either during period of this Agreement or at any other time thereafter, disclosing, using or disseminating such confidential information, for its or another's benefit, in any way acquired in the course of any association arising out of this Agreement.",
ReynoldsConsumerProductsInc_20191115_S-1_EX-10.18_11896469_EX-10.18_Supply Agreement,"The Master Supply Agreement establishes the terms under which Reynolds Consumer Products LLC (Seller) will sell products to Pactiv LLC (Buyer) for resale. Seller is obligated to provide products that meet specified quality and legal standards, while Buyer must purchase products as outlined in Purchase Schedules. Each party must maintain compliance with applicable laws and ethical standards.

Notable risks include potential liability for product defects, with Seller indemnifying Buyer against third-party claims related to non-conforming products. Both parties waive claims for indirect damages, limiting liability to direct damages. The agreement allows for termination by either party with written notice after the last Purchase Schedule expires. Confidentiality is emphasized, with both parties required to protect shared proprietary information.",(b) a termination date elected by a Party in a written notice delivered to the other Party any time after the expiration of the last Purchase Schedule; or (c) a termination date elected by a Party in a written notice delivered to the other Party as provided in Subsection 11(d) of this Agreement.,"The existence and terms of this Agreement, and the existence, nature and extent of the business relationship between the Parties, will be considered the Confidential Information of each Party.","Each Party waives any right to recover consequential, incidental, indirect, exemplary, punitive or any other types of indirect damages from the other Party for a breach of this Agreement."
SENMIAOTECHNOLOGYLTD_02_19_2019-EX-10.5-Collaboration Agreement,"The Collaboration Agreement between Didi Chuxing Technology Co., Ltd. and Hunan Ruixi Financial Leasing Co., Ltd. aims to facilitate vehicle leasing for Driver Users on Didi's platform. Didi is responsible for maintaining the platform and ensuring smooth transactions, while Hunan Ruixi must provide compliant vehicles and financial leasing services. Both parties must adhere to platform rules and maintain confidentiality regarding shared information.

Notable risks include potential penalties for breaches, such as liquidated damages ranging from RMB 1,000 to RMB 50,000, depending on the severity of the violation. If Hunan Ruixi fails to comply with obligations, Didi can terminate the agreement and seek compensation for losses incurred. Additionally, either party may terminate the agreement under specific conditions, including insolvency or failure to remedy breaches within 30 days.","9.1 In the following cases, either party may terminate this Agreement immediately by written notice to the other party, and this Agreement shall terminate as of the date on which such party gives such written notice of termination: 9.1.1 The other party ceases to carry on business or goes into liquidation (other than voluntary liquidation for the purpose of reorganization or combination of bona fide bankruptcy with prior written consent of such party) or dissolution; 9.1.2 The other party is unable to pay its debts as they become due, or has a receiver, administrative receiver or administrator (or any similar person provided by the Laws of the place where the company is located or incorporated) appointed for bankruptcy of all or any part of its property, or will go into any bankruptcy; 9.1.3 Unless otherwise agreed, the other party is in violation of any provision of this Agreement and fails to remedy such violation within 30 days from the receipt of notice of such violation from such party (if capable of remedy); 9.1.4 The other Party Breaches the Agreement, and such party may terminate this Agreement in accordance with this Agreement or the Platform Rules.","7.1 Each party shall maintain the confidentiality of all confidential information and shall not disclose any confidential information to any third party without the prior written consent of the other party, except for the information which (a) is or will be known by public (not caused by the disclosure to the public by the receiving party); (b) is required to be disclosed by the applicable law or any securities exchange rules or regulations; (c) is necessary to be disclosed to the counsels or financial consultants by either party in respect of the transaction under this Agreement, and such counsels or financial consultants are bound by similar confidentiality obligations hereunder.","10.6 In the event of any breach of the terms of this Agreement by either party, the breaching party shall remedy such breach within the time limit notified by the observing party. In the event of any losses incurred to the observing party, in addition to the corresponding liability for breach under the Agreement, the breaching party shall also be liable for the compensation for such losses (including, but not limited to, the losses incurred to the counterParty By such breach, the legal costs, notarial fees, appraisal fees, the attorney's fee, the travel expenses, etc., arising from the investigation and affixation of the liabilities of the breaching Party By the counterparty)."
"SIBANNAC,INC_12_04_2017-EX-2.1-Strategic Alliance Agreement","The Strategic Alliance Agreement establishes a partnership between Bravatek Solutions, Inc. and Sibannac, Inc. to promote and sell Sibannac's patented Air Cylinder Wheel products, particularly to government clients. Bravatek is responsible for marketing these products, providing sales leads, and reporting on potential sales, while Sibannac must support Bravatek's efforts and respond to inquiries. Both parties will collaborate on product strategies and marketing materials.

Key risks include potential liability for damages arising from negligence or misconduct, with each party indemnifying the other against third-party claims. The agreement is effective for 12 months, automatically renewing unless terminated with 90 days' notice. Confidentiality obligations last for five years post-termination. Modifications require written consent, and neither party may assign the agreement without approval.",This Agreement may also be terminated by either party upon ninety (90) days written notice.,"COMPANY and Bravatek agree to maintain in strict confidence and not to disclose or disseminate, or to use for any purposes other than performance of the projects, the Confidential Information disclosed.","COMPANY shall indemnify Bravatek, its directors, officers and employees, for any and all damages, costs, expenses, and other liabilities, including reasonable attorney's fees and court costs incurred in connection with any third-party claim, action or proceeding arising from the negligence or intentional misconduct of COMPANY or breach of COMPANY of any of its obligations under this Agreement."
SouthernStarEnergyInc_20051202_SB-2A_EX-9_801890_EX-9_Affiliate Agreement,"The agreement establishes an Affiliate Program between element 5 GmbH and website owners (Affiliates) to promote software products from Software Publishers. Affiliates earn commission based on sales generated through their advertisements. Key obligations include Affiliates integrating product links on their websites and maintaining the confidentiality of their access credentials. Software Publishers must activate Affiliates and set commission rates.

Notable risks include the potential for non-payment of commissions if sales are canceled or if the end user fails to meet payment obligations. Affiliates are liable for the content on their websites and must indemnify element 5 and Software Publishers against claims arising from breaches. The agreement can be terminated by either party at any time, and upon termination, all rights to use provided materials cease. Element 5 retains the right to modify terms, with changes taking effect unless contested within 14 days.","Either party may cancel this Agreement at any time, with or without supplying a reason, through written notification or by making suitable settings in the respective Control Panel.",,"The parties exclude mutual liability for slightly negligent violation of obligations in connection with this agreement, with the exception of § 16 and § 5 (3) of this agreement. This includes in particular the liability exclusion for lost profit, the loss of data or interruption to or errors in the operation of the Web site of the Affiliate."
ThriventVariableInsuranceAccountB_20190701_N-6_EX-99.D(IV)_11720968_EX-99.D(IV)_Endorsement Agreement,"The agreement facilitates the transfer of all assets and liabilities from the dissolved Thrivent Life Insurance Company to Thrivent Financial for Lutherans, which assumes all obligations under the contract. Key obligations include maintaining solvency, where members may need to make extra payments if solvency is impaired, with penalties for non-payment including interest charges. Membership rights are defined separately from contract ownership, and dividends, if any, will be credited based on the divisible surplus, though none are expected. The contract also allows for ownership transfer in accordance with bylaws, but membership rights cannot be assigned. Notably, all references to the former company are updated to reflect the new entity, and benefits will not be reduced by future amendments to the Society's governing documents.",,,
TUNIUCORP_03_06_2014-EX-10-COOPERATION AGREEMENT,"The Cooperation Agreement (2014 Amendment) establishes a partnership between Nanjing Tuniu Technology Co., Ltd. (Party A) and Beijing Tuniu Technology Co., Ltd. (Party B) for the internet-based sale and promotion of tour products. Party A is obligated to exclusively engage Party B for technical and business consultancy services, while Party B must provide these services, including technology development and operational support. Notable risks include penalties for late payment of service fees, which incur liquidated damages at a daily interest rate of 0.03%. Additionally, Party A waives rights to terminate the agreement under certain conditions, exposing it to potential liabilities for breach. The agreement also includes confidentiality obligations and stipulates that any intellectual property developed belongs to Party B. Disputes are to be resolved through arbitration in Beijing.","6.1 Prior to the expiration of the Term of Cooperation, this Agreement shall only be terminated upon occurrence of the following circumstances: 6.1.1 Party B shall have the right to terminate this Agreement in advance without the prior written consent from Party A, by sending a written notice to Party A but Party A may not terminate or rescind this Agreement; 6.1.2 One Party requests to terminate this Agreement when the other Party is declared bankrupt in accordance with the laws; 6.1.3 Party B fails to provide Party B's Services to Party A for more than three consecutive years due to the force majeure event.","12.8.1 Neither Party shall disclose the financial and technical information obtained in the course of conclusion of this Agreement to any third party nor use such information for matters irrelevant to this Agreement, regardless of written or oral information, unless the other Party gives a prior written consent thereto. 12.8.2 The Parties shall be obligated to take measures (including without limitation preparing the confidentiality rules, entering into the confidentiality agreement, establishing the archive management system and etc.) to ensure their respective employees will observe the confidentiality obligations specified hereunder.","8.1 If any Party commits any act in violation of this Agreement, such Party shall assume the liabilities for breach according to this Agreement and applicable laws. If both Parties breach this Agreement, they shall each assume their own liabilities for breach respectively. Notwithstanding the foregoing provisions, neither Party shall be responsible to the other Party in respect of any indirect loss or damage caused hereunder."
"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT","The agreement amends and terminates the Joint Venture Agreement (JV Agreement) between the Veoneer Parties and the Nissin Parties, effective upon the closings of share purchase agreements for Veoneer Nissin Brake Systems Japan and Zhongshan. The Veoneer Parties will cease to have any equity interest in these entities, and all rights and obligations under the JV Agreement will terminate concerning them. However, the JV Agreement remains in effect solely between the Nissin Parties and Autoliv AB for liquidation proceedings of Autoliv Nissin Brake Research Asia. Notably, the termination does not release either party from liability for breaches occurring before the closings. The Nissin Parties must ensure compliance with indemnification provisions for directors and officers related to liabilities arising prior to the closings. The agreement is governed by Japanese law and is contingent on the successful completion of the share purchase agreements.","effective as of the later of the VNBJ Closing and the VNBZ Closing, the JV Agreement shall terminate in its entirety with respect to the Veoneer Parties and (b) after the later of the VNBJ Closing and the VNBZ Closing, the Veoneer Parties shall cease to be a party to the JV Agreement and shall have no further obligations with respect thereto.",,"the termination of the JV Agreement with respect to VNBJ, VNBZ or the Veoneer Parties shall not release any Veoneer Party or any Nissin Party from liability for the breach of any of its representations, warranties, covenants or agreements set forth in the JV Agreement that arise prior to the VNBJ Closing or the VNBZ Closing, as applicable."
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT","The Promotion and Distribution Agreement between Whitesmoke Inc. and Google Inc. outlines the terms for distributing Google's Chrome Browser and Google Toolbar bundled with Whitesmoke's applications. Whitesmoke is obligated to accurately reproduce and distribute these products, comply with Google's guidelines, and report distribution metrics. Google must provide the necessary software and updates. 

Key risks include potential termination for breaches, particularly regarding licensing and confidentiality, with immediate effects if breaches are not remedied within 30 days. Liability is limited, but neither party can exclude responsibility for negligence or fraud. Additionally, both parties must protect confidential information and comply with applicable laws, including anti-bribery regulations.","5.2 Termination for breach. A party may suspend performance and/or terminate this Agreement, with immediate effect, if the other party: (a) is in material breach of this Agreement where the breach is incapable of remedy; or (b) is in material breach of this Agreement where the breach is capable of remedy and fails to remedy that breach within thirty (30) days after receiving written notice of such breach.","6.1 In this Agreement, ""Confidential Information"" means information disclosed by (or on behalf of) one party to the other party under this Agreement that is marked as confidential or, from its nature, content or the circumstances in which it is disclosed, might reasonably be supposed to be confidential, including the terms and conditions (including the Exhibits) of this Agreement.","9.1 Nothing in this Agreement shall exclude or limit either party's liability for: (a) death or personal injury resulting from the negligence of either party or their servants, agents or employees; (b) fraud or fraudulent misrepresentation;"
ZEBRATECHNOLOGIESCORP_04_16_2014-EX-10.1-INTELLECTUAL PROPERTY AGREEMENT,"The Intellectual Property Agreement between Motorola Solutions, Inc. (Seller) and Zebra Technologies Corporation (Purchaser) facilitates the transfer of certain intellectual property (IP) assets as part of a broader acquisition. The Seller is obligated to assign specific IP rights, including patents and trademarks, to the Purchaser, while the Purchaser agrees to assume related liabilities. Both parties must maintain confidentiality regarding disclosed information and arbitration proceedings. Notable risks include potential disputes over IP ownership, which may lead to arbitration if unresolved. Additionally, neither party provides warranties regarding the assigned IP's condition or fitness for purpose, exposing them to liability if issues arise post-transfer. The agreement automatically terminates if the overarching Acquisition Agreement is terminated.",This IP Agreement will terminate automatically and without need for further action by either party in the event that the Acquisition Agreement is terminated in accordance with its terms.,"The parties shall maintain the confidential nature of all information, documents and materials disclosed and statements made in connection with any negotiations or arbitration proceeding, and any arbitration proceeding and the judgment, including any hearing or award, except as may be necessary to prepare for or conduct the arbitration hearing on the merits.","EXCEPT AS SPECIFICALLY SET FORTH IN THIS IP AGREEMENT OR ANOTHER TRANSACTION AGREEMENT, NEITHER PARTY (NOR ANY MEMBER OF ITS GROUP OR ANY OF ITS AFFILIATES) MAKES ANY REPRESENTATION OR WARRANTY, EXPRESS OR IMPLIED, AS TO ANY MATTER WHATSOEVER RELATING TO ANY INTELLECTUAL PROPERTY ASSIGNED OR LICENSED BY ANY OF THEM TO THE OTHER PARTY (OR ANY MEMBER OF THE OTHER PARTY'S GROUP OR ANY OF ITS AFFILIATES), IN EACH CASE INCLUDING ITS CONDITION, ITS MERCHANTABILITY, ITS FITNESS FOR ANY PARTICULAR PURPOSE, OR TITLE OR NON- INFRINGEMENT."
